code;description_eng;description_fr
000;Wrong colour;Mauvaise couleur
001;Cross-section too small;Section trop petite
002;Cross-section too large;Section trop grande
003;Wrong (wire / tube) type;Mauvais composant (file / gaine)
004;Single strands cut-off missing;Brin cuivre coupé manquant
005;Insulation not stripped properly;Dénudage ou dégainage non fait correctement
006;Insulation damaged;Isolation endommagée
007;Wire damaged;Fil endommagé
008;Measure too short;Mesure trop courte
009;Measure too long;Mesure trop longue
010;Strip length too short;Longueur dénudage trop courte
011;Strip length too long;Longueur dénudage trop longue
012;Printing wrong;Marquage faux / non-conforme
013;Printing missing;Marquage manquant
014;Printing dimensions wrong;Dimension identification non-conforme (NC)
015;Printing not clear;Impression non lisible
016;Insulation tensile force not o.k.;Force d'adhésion de l'isolant NC
017;Dismantling length too short;Longueur dégainage trop courte
018;Dismantling length too long;Longueur dégainage trop longue
019;Strip not free of notches or not correct;Partie dénudée avec entaille ou non conforme
020;Lay lenght not o.k.;Pas de torsadage non conforme
021;Roughening not o.k.;Coupe non conforme
022;Conductor damaged;Cuivre endommagé
023;Cross section crooked;Coupure oblique
024;Longitudinal cut not straight;Coupe longitudinale n'est pas droite
025;Twisted direction false;Sens de torsadage NC
026;Untwisted length wrong;Longueur non torsadée NC
027;Wire not stretched after untwisting;Fil ondulé après détorsadage
028;Wrong number of wires in the bundle;Quantité non-conforme de fils dans le toron
100;Insulation in copper crimp area;Isolant dans zone de sertissage de cuivre
101;Foreign object in crimp area;Corps étranger dans le sertissage
102;Single strands outside;Quelques brins de cuivre non sertis
103;Insulation crimp not o.k.;Sertissage sur isolant non-conforme
104;Crimp width not o.k.;Largeur de sertissage non conforme
105;Crimp height not o.k.;Hauteur de sertissage non conforme
106;Pull-out force not o.k.;Force de traction non conforme
107;Cable wrong position;Position du fil dans le contact non conforme
108;Wrong contact;Erreur de contact
109;Wrong plating of terminal;Traitement de surface du contact non-conforme
110;Deformed contact area;Zone de contact déformée
111;Deformed crimping area;Zone de sertissage déformée
112;Terminal feeder cut incorrect;Témoin de coupe mal coupé
113;Terminal lock deformed/missing;Verrouillage déformé / manquant
114;Bell mouth incorrect missing;Entrée de la cosse non conforme / manquante
115;Contact is not to specification;Contact non conforme aux spécifications
116;Crimp burr too large;Bavure sertissage trop grande
117;Copper crimp open;Sertissage sur cuivre ouvert
118;Wire only in one blade of IDC;Fil coincé seulement par une lame de l' IDC
119;Wrong seal;Erreur de joint
